,Unnamed: 0,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
1439,1439,20220531,4057,インターファクトリー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1440,1440,20220531,4058,トヨクモ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1441,1441,20220531,4059,まぐまぐ,スタンダード（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1442,1442,20220531,4060,ｒａｋｕｍｏ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1447,1447,20220531,4068,ベイシス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1448,1448,20220531,4069,ＢｌｕｅＭｅｍｅ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1449,1449,20220531,4071,プラスアルファ・コンサルティング,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1450,1450,20220531,4072,電算システムホールディングス,プライム（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,7,TOPIX Small 2
1451,1451,20220531,4073,ジィ・シィ企画,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1452,1452,20220531,4074,ラキール,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1453,1453,20220531,4075,ブレインズテクノロジー,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1454,1454,20220531,4076,シイエヌエス,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1481,1481,20220531,4165,プレイド,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1482,1482,20220531,4166,かっこ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1483,1483,20220531,4167,ココペリ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1484,1484,20220531,4168,ヤプリ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
1485,1485,20220531,4169,ＥＮＥＣＨＡＮＧＥ,グロース（内国株式）,5250,情報・通信業,10,情報通信・サービスその他 ,-,-
