,日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
2590,20220531,6594,日本電産,プライム（内国株式）,3650,電気機器,9,電機・精密 ,1,TOPIX Core30
2591,20220531,6596,筑波精工,PRO Market,3650,電気機器,9,電機・精密 ,-,-
2592,20220531,6597,ＨＰＣシステムズ,グロース（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2593,20220531,6599,エブレン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2594,20220531,6612,バルミューダ,グロース（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2595,20220531,6613,ＱＤレーザ,グロース（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2596,20220531,6614,シキノハイテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2597,20220531,6615,ユー・エム・シー・エレクトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2598,20220531,6616,トレックス・セミコンダクター,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2599,20220531,6617,東光高岳,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2600,20220531,6618,大泉製作所,グロース（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2601,20220531,6619,ダブル・スコープ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2602,20220531,6620,宮越ホールディングス,プライム（内国株式）,8050,不動産業,17,不動産 ,7,TOPIX Small 2
2603,20220531,6622,ダイヘン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2604,20220531,6625,ＪＡＬＣＯホールディングス,スタンダード（内国株式）,8050,不動産業,17,不動産 ,-,-
2605,20220531,6626,ＳＥＭＩＴＥＣ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2606,20220531,6627,テラプローブ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2607,20220531,6629,テクノホライゾン,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2608,20220531,6630,ヤーマン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2609,20220531,6632,ＪＶＣケンウッド,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2610,20220531,6633,Ｃ＆Ｇシステムズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2611,20220531,6634,ネクスグループ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2612,20220531,6635,大日光・エンジニアリング,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2613,20220531,6637,寺崎電気産業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2614,20220531,6638,ミマキエンジニアリング,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2615,20220531,6640,Ｉ－ＰＥＸ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2616,20220531,6641,日新電機,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2617,20220531,6643,戸上電機製作所,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2618,20220531,6644,大崎電気工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2619,20220531,6645,オムロン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,2,TOPIX Large70
2620,20220531,6647,森尾電機,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2621,20220531,6648,かわでん,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2622,20220531,6651,日東工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2623,20220531,6652,ＩＤＥＣ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2624,20220531,6653,正興電機製作所,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2625,20220531,6654,不二電機工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2626,20220531,6656,インスペック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2627,20220531,6658,シライ電子工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2628,20220531,6659,メディアリンクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2629,20220531,6662,ユビテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2630,20220531,6663,太洋工業,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2631,20220531,6664,オプトエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2632,20220531,6666,リバーエレテック,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2633,20220531,6668,アドテック　プラズマ　テクノロジー,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2634,20220531,6670,ＭＣＪ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2635,20220531,6674,ジーエス・ユアサ　コーポレーション,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2636,20220531,6675,サクサホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2637,20220531,6676,メルコホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2638,20220531,6677,エスケーエレクトロニクス,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2639,20220531,6678,テクノメディカ,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2640,20220531,6694,ズーム,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2641,20220531,6695,トリプルワン,PRO Market,3650,電気機器,9,電機・精密 ,-,-
2642,20220531,6696,トラース・オン・プロダクト,グロース（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2643,20220531,6697,テックポイント・インク　ＪＤＲ,グロース（外国株式）,3650,電気機器,9,電機・精密 ,-,-
2644,20220531,6698,ヴィスコ・テクノロジーズ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2645,20220531,6699,ダイヤモンドエレクトリックホールディングス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2646,20220531,6701,日本電気,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2647,20220531,6702,富士通,プライム（内国株式）,3650,電気機器,9,電機・精密 ,2,TOPIX Large70
2648,20220531,6703,沖電気工業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2649,20220531,6704,岩崎通信機,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2650,20220531,6706,電気興業,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2651,20220531,6707,サンケン電気,プライム（内国株式）,3650,電気機器,9,電機・精密 ,6,TOPIX Small 1
2652,20220531,6715,ナカヨ,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2653,20220531,6718,アイホン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,7,TOPIX Small 2
2654,20220531,6721,ウインテスト,スタンダード（内国株式）,3650,電気機器,9,電機・精密 ,-,-
2655,20220531,6723,ルネサスエレクトロニクス,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
2656,20220531,6724,セイコーエプソン,プライム（内国株式）,3650,電気機器,9,電機・精密 ,4,TOPIX Mid400
