,mean,median,min,max,variance,brand
1332,0.0002112831485614342,0.0,-0.06690140845070422,0.07214435308172577,0.0003656261070193727,日本水産
1333,-0.00023336668540679525,-0.00214461289669899,-0.047271164589600345,0.062024787987229456,0.00025147091485980115,マルハニチロ
1605,0.005297232591687219,0.0020904615091080036,-0.0794743696807535,0.08629823263026368,0.0010226143295517728,ＩＮＰＥＸ
1721,-0.00023799747979500894,0.0,-0.04557340306313037,0.049167611800273035,0.00021314291816241132,コムシスホールディングス
1801,0.0013912441613917333,0.0013185186213933596,-0.04116864572775098,0.07792207792207792,0.0003042541282311357,大成建設
1802,0.0007297272536715605,0.0,-0.05100953063641299,0.049539210145452615,0.00026750252792760655,大林組
1803,-9.22257457179026e-05,0.0,-0.07544581618655692,0.04287686529732854,0.0003181385480633227,清水建設
1808,0.001282288285606173,-0.0006665176399859327,-0.033584617263460605,0.08679795769511306,0.00025607177570484554,長谷工コーポレーション
1812,0.0008388977888454576,-0.0018132037782692804,-0.03512396694214876,0.07184751924751276,0.00028564677638316416,鹿島建設
1925,-0.0004476057034509892,0.0,-0.03403220754019246,0.04437870894188604,0.0002547592881692598,大和ハウス工業
1928,-0.0005129243278573095,-0.00021064789438651686,-0.030769233998416745,0.03351962083569758,0.0001633133697205964,積水ハウス
1963,0.006891648243433753,0.0018775048590064024,-0.04802631578947368,0.20477815699658702,0.0012128503819830063,日揮ホールディングス
2002,-0.0006177383251917991,-0.0005814024237720578,-0.08366993652625505,0.06200122658409213,0.00028006198385132025,日清製粉グループ本社
2269,-0.000706892885192921,0.0,-0.04951853594744195,0.025245424177950972,0.00016489450812051684,明治ホールディングス
2282,-0.0001650176286826138,0.0017682498519979118,-0.08754215253994937,0.039053210881492544,0.0002821704296990528,日本ハム
2413,-0.0038147895849410633,-0.0031094691165001387,-0.10290371879775853,0.06303236797274275,0.001198610173589342,エムスリー
2432,0.0010053747755833797,0.0031052074824922003,-0.08559919436052367,0.03780486173988394,0.0004072883936041073,ディー・エヌ・エー
2501,0.0025787369541810275,0.003672076439621831,-0.033245844269466314,0.0744466800804829,0.0002386357234526812,サッポロホールディングス
2502,-0.0002057066643980487,0.0014257017267788354,-0.10862135232547887,0.04904577100187731,0.0004853606336869976,アサヒグループホールディングス
2503,0.0009970567360463693,0.0021629703074092376,-0.042461208417968306,0.04214964983278446,0.00020509733393538458,キリンホールディングス
2531,-0.002173687020536079,-0.0008668690952502562,-0.0443298969072165,0.049010411251875066,0.00030074221057850017,宝ホールディングス
2768,0.0021875780629726257,0.002531468622758059,-0.07244250024680647,0.04926108137058968,0.0003060547601794462,双日
2801,-0.0030369358523412875,0.0005688314520929727,-0.12632821723730814,0.045121951219512194,0.0006524420978398964,キッコーマン
2802,-0.0013041915093375959,-0.0008853483448660896,-0.06994896427499249,0.05938951559389516,0.0003453016312936499,味の素
2871,-0.0013202737106907565,-0.0004218621195192069,-0.03578228282899223,0.03158315397635945,0.00016223687388644903,ニチレイ
2914,0.00034351140126741964,0.0008483356177293113,-0.03614452033204463,0.03576753496677054,0.0001687141588260431,日本たばこ産業
3086,0.0003599206890464988,-0.002474126007535651,-0.04939516129032258,0.05133928571428571,0.0003914407846746302,Ｊ．フロント　リテイリング
3099,0.0027101918027700638,-0.0005112474437627812,-0.03619440358095498,0.05524244232424294,0.00040456064948762524,三越伊勢丹ホールディングス
3101,-0.0013973262781237497,-0.0022341807567143597,-0.04911091323986149,0.04612365063788027,0.00028432968592643847,東洋紡
3103,-0.002326873602053079,-0.0033182918776139114,-0.07983193277310924,0.045662100456621,0.00046795748557132156,ユニチカ
3289,0.0008517205319905656,0.0015615896365557204,-0.05132197003755763,0.05442172578457301,0.00035767726555587003,東急不動産ホールディングス
3382,0.0008072261528458565,-9.240436148586214e-05,-0.040014484881405035,0.048770534773586866,0.00031013841342024997,セブン＆アイ・ホールディングス
3401,-0.00018684536966962167,0.0,-0.04879727244325142,0.042042042042042045,0.0002790557492227434,帝人
3402,3.1846822962918284e-05,0.0005920701341999577,-0.10081362625855655,0.05352364491795244,0.0003838464756113624,東レ
3405,0.0010412871199836668,0.0004604035219266032,-0.03027247119232366,0.06511177249788455,0.00031003572555967393,クラレ
3407,3.279822180889061e-05,7.548544102825447e-06,-0.04997687718959706,0.05192108196349504,0.00036057176265393676,旭化成
3436,-0.0014232269492120788,-0.0023083525670849862,-0.07289713978588341,0.053321726397315895,0.0005873974557108601,ＳＵＭＣＯ
3861,0.0007566095832441043,0.0,-0.057291666666666664,0.0340715429072808,0.00030114093134486465,王子ホールディングス
3863,-0.000879739137770519,-0.0027190510686196188,-0.04430930507842785,0.050678724496555756,0.00024135985795288315,日本製紙
4004,0.0007658186719161917,0.0027653839719559343,-0.06963562753036437,0.1040398450470393,0.0006890445436762723,昭和電工
4005,0.0003241242341974617,-0.0016964228079456491,-0.0893169877408056,0.04868151469639355,0.000375702909881577,住友化学
4021,0.0011694030424651185,-0.0007246445679489872,-0.0513594848894981,0.06602253814648064,0.00042097619879752265,日産化学
4041,0.0024424722588062254,0.0,-0.027480902107719793,0.085383502170767,0.0003355440883535131,日本曹達
4042,0.001460401484726188,0.0013629623382117317,-0.05384178540069857,0.06825293666532949,0.00038740793216140545,東ソー
4043,-0.00010945594129835156,-0.0008523525189585044,-0.051873220774583916,0.07439553626782393,0.0003726259917094048,トクヤマ
4061,-0.0011638406046737318,0.0012651458386035025,-0.09689439585351932,0.05000006623949724,0.0003906351687953456,デンカ
